,Month,Day,Time,Year,Condition,Temp_C
820,December,5,11:59 AM,2017,Rain Shower,28
821,December,5,01:35 PM,2018,Rain Shower,28
822,December,16,06:11 PM,2017,Rain Shower,28
823,December,19,12:04 PM,2017,Rain Shower,28
824,December,21,01:08 PM,2017,Rain Shower,28
825,December,21,03:54 PM,2018,Rain Shower,28
826,December,29,11:25 AM,2017,Rain Shower,28
827,December,29,02:21 PM,2018,Rain Shower,28
828,December,30,01:40 PM,2017,Rain Shower,28
829,February,12,04:25 PM,2018,Rain Shower,28
830,February,15,05:28 PM,2018,Rain Shower,28
831,January,4,02:29 PM,2019,Rain Shower,28
832,January,15,02:51 PM,2018,Rain Shower,28
833,January,24,03:40 PM,2018,Rain Shower,28
834,January,25,02:05 PM,2018,Rain Shower,28
835,January,26,03:44 PM,2017,Rain Shower,28
836,March,1,12:23 PM,2018,Rain Shower,28
837,March,4,11:37 AM,2018,Rain Shower,28
838,March,6,12:35 PM,2017,Rain Shower,28
839,March,7,03:45 PM,2017,Rain Shower,28
840,March,7,09:40 AM,2018,Rain Shower,28
841,March,8,11:34 AM,2017,Rain Shower,28
842,March,9,04:59 PM,2017,Rain Shower,28
843,March,13,01:20 PM,2018,Rain Shower,28
844,March,18,12:56 PM,2018,Rain Shower,28
845,March,21,12:36 PM,2018,Rain Shower,28
846,October,27,12:47 PM,2018,Rain Shower,28
847,November,8,10:36 AM,2016,Scattered Thunderstorms,28
848,September,7,11:18 AM,2016,Scattered Thunderstorms,28
849,September,17,01:23 PM,2016,Scattered Thunderstorms,28
850,August,21,01:37 PM,2016,Showers,28
851,October,26,10:42 AM,2016,Showers,28
852,December,12,07:09 PM,2015,Thunder,28
853,December,14,10:14 PM,2015,Thunder,28
854,December,15,09:50 PM,2015,Thunder,28
855,February,25,04:28 PM,2016,Thunder,28
856,December,13,09:25 PM,2015,Thunder in the Vicinity,28
857,November,7,10:30 AM,2016,Few Showers,29
858,March,5,11:37 AM,2018,Light Rain,29
859,April,27,12:33 PM,2018,Rain Shower,29
860,August,20,02:26 PM,2017,Rain Shower,29
861,December,19,02:19 PM,2017,Rain Shower,29
862,December,21,08:29 PM,2018,Rain Shower,29
863,February,10,03:12 PM,2017,Rain Shower,29
864,February,20,01:21 PM,2018,Rain Shower,29
865,January,12,01:29 PM,2018,Rain Shower,29
866,January,23,03:35 PM,2018,Rain Shower,29
867,March,4,02:54 PM,2017,Rain Shower,29
868,March,18,04:46 PM,2018,Rain Shower,29
869,March,20,01:32 PM,2018,Rain Shower,29
870,November,1,02:14 PM,2018,Rain Shower,29
871,December,18,11:50 AM,2016,Scattered Thunderstorms,29
872,November,26,04:22 PM,2016,Scattered Thunderstorms,29
873,November,29,11:06 AM,2016,Scattered Thunderstorms,29
874,April,27,10:45 AM,2016,Showers,29
875,August,31,01:38 PM,2016,Showers,29
876,November,22,12:50 PM,2016,Showers,29
877,February,17,06:38 PM,2016,Thunder,29
878,February,26,06:02 PM,2016,Thunder,29
879,April,1,04:10 PM,2016,Thunder in the Vicinity,29
880,March,31,05:27 PM,2016,Thunder,29
881,January,11,02:47 PM,2016,Light Rain,30
882,December,14,04:12 PM,2018,Rain Shower,30
883,December,27,01:53 PM,2017,Rain Shower,30
884,January,19,11:54 AM,2017,Scattered Thunderstorms,30
885,November,16,11:50 AM,2016,Scattered Thunderstorms,30
886,February,19,07:03 PM,2016,Thunder,30
887,February,20,04:53 PM,2016,Thunder,30
888,December,9,10:36 AM,2016,Isolated Thunderstorms,31
889,January,14,02:13 PM,2017,Isolated Thunderstorms,31
890,January,14,12:38 PM,2017,Isolated Thunderstorms,31
891,November,9,12:06 PM,2016,Isolated Thunderstorms,31
892,January,23,06:10 PM,2018,Light Rain with Thunder,31
893,December,1,01:51 PM,2018,Rain Shower,31
894,December,15,02:01 PM,2017,Rain Shower,31
895,December,20,06:28 PM,2017,Rain Shower,31
896,February,7,01:21 PM,2017,Rain Shower,31
897,February,20,01:59 PM,2017,Rain Shower,31
898,January,23,03:48 PM,2017,Rain Shower,31
899,March,3,11:02 AM,2018,Rain Shower,31
900,March,18,02:31 PM,2018,Rain Shower,31
901,January,8,11:16 AM,2017,Scattered Thunderstorms,31
902,November,15,02:05 PM,2016,Scattered Thunderstorms,31
903,November,17,12:16 PM,2016,Scattered Thunderstorms,31
904,October,15,10:06 AM,2016,Scattered Thunderstorms,31
905,September,12,04:16 PM,2016,Scattered Thunderstorms,31
906,December,3,12:24 PM,2016,Isolated Thunderstorms,32
907,December,25,12:11 PM,2016,Isolated Thunderstorms,32
908,January,7,11:06 AM,2017,Isolated Thunderstorms,32
909,September,12,01:18 PM,2016,Isolated Thunderstorms,32
910,September,12,02:12 PM,2016,Isolated Thunderstorms,32
911,February,6,12:36 PM,2017,Rain Shower,32
912,February,22,12:03 PM,2018,Rain Shower,32
913,February,24,01:37 PM,2017,Rain Shower,32
914,January,19,03:39 PM,2018,Rain Shower,32
915,March,15,01:38 PM,2017,Rain Shower,32
916,March,26,03:23 PM,2018,Rain Shower,32
917,December,12,10:22 AM,2016,Scattered Thunderstorms,32
918,December,13,11:02 AM,2016,Scattered Thunderstorms,32
919,January,3,11:43 AM,2017,Scattered Thunderstorms,32
920,January,15,11:53 AM,2017,Scattered Thunderstorms,32
921,January,16,10:28 AM,2017,Scattered Thunderstorms,32
922,November,3,11:46 AM,2016,Scattered Thunderstorms,32
923,October,14,10:15 AM,2016,Scattered Thunderstorms,32
924,October,24,01:43 PM,2016,Showers,32
925,November,19,04:00 PM,2015,Thunder,32
926,November,3,08:35 AM,2016,Few Showers,33
927,December,11,10:27 AM,2016,Isolated Thunderstorms,33
928,December,19,01:20 PM,2016,Isolated Thunderstorms,33
929,November,11,03:04 PM,2016,Isolated Thunderstorms,33
930,November,27,03:57 PM,2016,Isolated Thunderstorms,33
931,December,8,11:11 AM,2016,Scattered Thunderstorms,33
932,December,10,12:07 PM,2016,Scattered Thunderstorms,33
933,December,21,01:01 PM,2016,Scattered Thunderstorms,33
934,January,11,11:18 AM,2017,Scattered Thunderstorms,33
935,November,10,12:11 PM,2016,Scattered Thunderstorms,33
936,October,20,12:35 PM,2016,Scattered Thunderstorms,33
937,January,18,05:33 PM,2017,Showers,33
938,February,27,04:32 PM,2016,Thunder,33
939,February,28,04:46 PM,2016,Thunder,33
940,January,2,12:28 PM,2017,Isolated Thunderstorms,34
941,January,9,11:51 AM,2017,Isolated Thunderstorms,34
942,October,16,11:26 AM,2016,Isolated Thunderstorms,34
943,October,18,01:20 PM,2016,Isolated Thunderstorms,34
944,December,17,03:04 PM,2017,Rain Shower,34
945,January,22,03:15 PM,2018,Rain Shower,34
946,March,3,02:04 PM,2017,Rain Shower,34
947,November,18,03:27 PM,2017,Rain Shower,34
948,December,24,12:56 PM,2016,Scattered Thunderstorms,34
949,December,29,03:38 PM,2016,Scattered Thunderstorms,34
950,January,4,12:44 PM,2017,Scattered Thunderstorms,34
951,January,6,12:54 PM,2017,Scattered Thunderstorms,34
952,January,10,11:13 AM,2017,Scattered Thunderstorms,34
953,December,20,02:36 PM,2016,Isolated Thunderstorms,35
954,January,3,02:33 PM,2019,Rain Shower,35
955,December,22,02:37 PM,2016,Scattered Thunderstorms,35
956,December,23,12:56 PM,2016,Scattered Thunderstorms,35
957,December,24,01:56 PM,2017,Rain Shower,36
958,October,3,02:52 PM,2018,Rain Shower,36
959,December,31,12:36 PM,2016,Scattered Thunderstorms,36
960,November,2,02:50 PM,2016,Scattered Thunderstorms,36
961,November,28,02:37 PM,2016,Scattered Thunderstorms,36
962,October,17,03:22 PM,2016,Scattered Thunderstorms,36
963,December,30,12:37 PM,2016,Isolated Thunderstorms,37
964,October,27,03:31 PM,2016,Isolated Thunderstorms,37
965,December,24,03:26 PM,2017,Rain Shower,37
966,December,26,02:34 PM,2016,Scattered Thunderstorms,37
967,January,1,12:23 PM,2017,Scattered Thunderstorms,37
968,January,5,12:44 PM,2017,Scattered Thunderstorms,37
969,December,27,02:49 PM,2016,Scattered Thunderstorms,39
