,Data,TempMaxima
490,1961-09-03,31.0
492,1961-09-04,34.6
494,1961-09-05,29.2
496,1961-09-06,27.4
498,1961-09-07,24.1
500,1961-09-08,22.5
502,1961-09-09,26.7
504,1961-09-10,30.1
506,1961-09-11,26.7
508,1961-09-12,28.6
510,1961-09-13,25.5
512,1961-09-14,26.1
514,1961-09-15,28.9
516,1961-09-16,27.4
518,1961-09-17,28.4
520,1961-09-18,26.7
522,1961-09-19,25.5
524,1961-09-20,29.1
526,1961-09-21,27.4
528,1961-09-22,25.6
530,1961-09-23,23.7
532,1961-09-24,27.7
534,1961-09-25,29.4
536,1961-09-26,33.8
538,1961-09-27,35.4
540,1961-09-28,35.3
542,1961-09-29,29.6
544,1961-09-30,22.0
546,1961-10-01,23.6
548,1961-10-02,28.9
550,1961-10-03,27.9
552,1961-10-04,27.3
554,1961-10-05,27.6
556,1961-10-06,30.0
558,1961-10-07,29.5
560,1961-10-08,26.7
562,1961-10-09,27.5
564,1961-10-10,30.1
566,1961-10-11,28.0
568,1961-10-12,33.3
570,1961-10-13,33.7
572,1961-10-14,35.4
574,1961-10-15,31.4
576,1961-10-16,24.2
578,1961-10-17,28.8
580,1961-10-18,29.1
582,1961-10-19,28.3
584,1961-10-20,31.3
586,1961-10-21,32.8
588,1961-10-22,33.2
590,1961-10-23,28.6
592,1961-10-24,26.9
594,1961-10-25,32.0
596,1961-10-26,30.5
598,1961-10-27,24.3
600,1961-10-28,24.7
602,1961-10-29,25.7
604,1961-10-30,29.7
606,1961-10-31,27.6
608,1961-11-01,29.1
610,1961-11-02,28.1
612,1961-11-03,32.3
614,1961-11-04,29.0
616,1961-11-05,29.4
618,1961-11-06,27.5
620,1961-11-07,24.5
622,1961-11-08,25.2
624,1961-11-09,24.9
626,1961-11-10,33.0
628,1961-11-11,27.8
630,1961-11-12,22.1
632,1961-11-13,23.7
634,1961-11-14,29.7
636,1961-11-15,26.3
638,1961-11-16,24.8
640,1961-11-17,25.2
642,1961-11-18,25.4
644,1961-11-19,28.1
646,1961-11-20,33.7
648,1961-11-21,30.7
650,1961-11-22,32.4
652,1961-11-23,29.6
654,1961-11-24,30.4
656,1961-11-25,28.7
658,1961-11-26,31.0
660,1961-11-27,32.0
662,1961-11-28,28.3
664,1961-11-29,36.1
666,1961-11-30,32.0
668,1961-12-01,30.7
670,1961-12-02,32.5
672,1961-12-03,31.8
674,1961-12-04,22.6
676,1961-12-05,23.7
678,1961-12-06,21.6
680,1961-12-07,22.1
682,1961-12-08,26.7
684,1961-12-09,26.3
686,1961-12-10,28.2
688,1961-12-11,28.7
690,1961-12-12,29.7
692,1961-12-13,26.8
694,1961-12-14,26.4
696,1961-12-15,27.3
698,1961-12-16,28.7
700,1961-12-17,34.3
702,1961-12-18,29.2
704,1961-12-19,31.7
706,1961-12-20,33.9
708,1961-12-21,34.3
710,1961-12-22,35.3
712,1961-12-23,36.6
714,1961-12-24,32.1
716,1961-12-25,28.0
718,1961-12-26,27.4
720,1961-12-27,30.0
722,1961-12-28,33.5
724,1961-12-29,35.7
726,1961-12-30,26.3
728,1961-12-31,25.5
730,1962-01-01,25.7
732,1962-01-02,30.1
734,1962-01-03,30.8
736,1962-01-04,26.7
738,1962-01-05,31.4
740,1962-01-06,29.7
742,1962-01-07,30.4
744,1962-01-08,27.3
746,1962-01-09,27.8
748,1962-01-10,27.2
750,1962-01-11,27.8
752,1962-01-12,27.8
754,1962-01-13,27.9
756,1962-01-14,31.0
